iter	Passed	Remaining
0	137	689385
1	163	408091
2	190	316762
3	217	271313
4	242	242272
5	267	222786
6	292	208401
7	318	198718
8	343	190421
9	369	184460
10	395	179331
11	428	178029
12	459	176330
13	492	175409
14	521	173426
15	549	171186
16	582	170665
17	611	169283
18	637	167069
19	663	165195
20	693	164483
21	724	164003
22	754	163180
23	784	162662
24	808	160934
25	836	159937
26	864	159240
27	890	158152
28	913	156538
29	936	155070
30	960	153923
31	985	153065
32	1010	152095
33	1037	151570
34	1061	150608
35	1083	149394
36	1105	148270
37	1130	147608
38	1148	146143
39	1172	145383
40	1194	144427
41	1216	143590
42	1240	142982
43	1264	142448
44	1286	141626
45	1310	141118
46	1332	140455
47	1355	139805
48	1375	138996
49	1397	138361
50	1420	137808
51	1440	137090
52	1461	136420
53	1483	135898
54	1504	135250
55	1524	134597
56	1543	133859
57	1566	133476
58	1586	132833
59	1608	132437
60	1632	132183
61	1654	131786
62	1674	131232
63	1693	130645
64	1712	130055
65	1731	129462
66	1754	129184
67	1775	128749
68	1800	128697
69	1822	128328
70	1843	127999
71	1866	127766
72	1886	127346
73	1910	127192
74	1938	127277
75	1960	126999
76	1985	126959
77	2006	126636
78	2027	126297
79	2049	126026
80	2071	125771
81	2092	125502
82	2113	125183
83	2132	124773
84	2154	124603
85	2176	124342
86	2200	124238
87	2223	124106
88	2243	123818
89	2265	123592
90	2287	123385
91	2309	123205
92	2333	123115
93	2356	123007
94	2377	122759
95	2398	122519
96	2420	122332
97	2440	122092
98	2460	121790
99	2486	121850
100	2507	121644
101	2529	121451
102	2547	121136
103	2568	120928
104	2590	120788
105	2611	120549
106	2633	120431
107	2657	120394
108	2681	120322
109	2700	120058
110	2723	119960
111	2747	119922
112	2767	119701
113	2789	119568
114	2810	119393
115	2831	119225
116	2850	118957
117	2871	118786
118	2893	118675
119	2914	118541
120	2936	118397
121	2957	118255
122	2983	118285
123	3004	118155
124	3027	118073
125	3050	118011
126	3070	117803
127	3090	117638
128	3112	117520
129	3131	117322
130	3154	117237
131	3181	117326
132	3205	117304
133	3232	117386
134	3255	117333
135	3277	117225
136	3299	117130
137	3321	117016
138	3344	116975
139	3367	116888
140	3387	116729
141	3410	116684
142	3432	116592
143	3454	116477
144	3475	116374
145	3499	116330
146	3519	116198
147	3543	116182
148	3567	116138
149	3590	116083
150	3612	116015
151	3632	115861
152	3654	115769
153	3677	115719
154	3699	115634
155	3718	115456
156	3744	115515
157	3767	115445
158	3790	115415
159	3813	115358
160	3837	115336
161	3860	115288
162	3884	115260
163	3905	115154
164	3926	115061
165	3947	114946
166	3971	114922
167	3992	114839
168	4018	114869
169	4042	114840
170	4065	114819
